"Date","Country","Status","Color","Type","Value"
2022-07-03,"Luxembourg","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Nigeria","Confirmed","#D6604D","Total Count",257637
2022-07-03,"Nigeria","Confirmed","#D6604D","Count per 10K",13.8521963546427
2022-07-03,"Nigeria","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Zimbabwe","Confirmed","#D6604D","Total Count",255586
2022-07-03,"Zimbabwe","Confirmed","#D6604D","Count per 10K",158.257585139319
2022-07-03,"Zimbabwe","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Uzbekistan","Confirmed","#D6604D","Total Count",241040
2022-07-03,"Uzbekistan","Confirmed","#D6604D","Count per 10K",76.6496009158266
2022-07-03,"Uzbekistan","Confirmed","#D6604D","New Cases per 10K",0.0302095589404395
2022-07-03,"Montenegro","Confirmed","#D6604D","Total Count",241003
2022-07-03,"Montenegro","Confirmed","#D6604D","Count per 10K",3831.52623211447
2022-07-03,"Montenegro","Confirmed","#D6604D","New Cases per 10K",4.1335453100159
2022-07-03,"Mauritius","Confirmed","#D6604D","Total Count",231036
2022-07-03,"Mauritius","Confirmed","#D6604D","Count per 10K",1830.71315372425
2022-07-03,"Mauritius","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Kosovo","Confirmed","#D6604D","Total Count",229571
2022-07-03,"Kosovo","Confirmed","#D6604D","Count per 10K",1253.80120152922
2022-07-03,"Kosovo","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Mozambique","Confirmed","#D6604D","Total Count",228183
2022-07-03,"Mozambique","Confirmed","#D6604D","Count per 10K",79.1505081688577
2022-07-03,"Mozambique","Confirmed","#D6604D","New Cases per 10K",0.0183842658434216
2022-07-03,"Laos","Confirmed","#D6604D","Total Count",210307
2022-07-03,"Laos","Confirmed","#D6604D","Count per 10K",311.197099733649
2022-07-03,"Laos","Confirmed","#D6604D","New Cases per 10K",0.00147972773009766
2022-07-03,"Kyrgyzstan","Confirmed","#D6604D","Total Count",201053
2022-07-03,"Kyrgyzstan","Confirmed","#D6604D","Count per 10K",337.563801208865
2022-07-03,"Kyrgyzstan","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Iceland","Confirmed","#D6604D","Total Count",195259
2022-07-03,"Iceland","Confirmed","#D6604D","Count per 10K",5881.29518072289
2022-07-03,"Iceland","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Afghanistan","Confirmed","#D6604D","Total Count",182724
2022-07-03,"Afghanistan","Confirmed","#D6604D","Count per 10K",52.7250692520776
2022-07-03,"Afghanistan","Confirmed","#D6604D","New Cases per 10K",0.0233725761772853
2022-07-03,"Maldives","Confirmed","#D6604D","Total Count",181586
2022-07-03,"Maldives","Confirmed","#D6604D","Count per 10K",4242.66355140187
2022-07-03,"Maldives","Confirmed","#D6604D","New Cases per 10K",0
